_id,date,tweet
1251713270420869121,2020-04-19 03:24:34,"LIVE: One world, #TogetherAtHome! #COVID19 https://t.co/kHCdwCHKwf"
1251046575448571905,2020-04-17 07:15:21,"It's ON US to win the fight against #COVID19

Take care if you have any underlying health condition:

✅Avoid exposure #StayAtHome 
✅Take precautions - wash your hands regularly 🧼👐 have a nutritious diet🥦
✅Be prepared - keep a supply of essential medicines💊

#CombatCOVID19 https://t.co/cV8SOfTKnA"
1251012790740897792,2020-04-17 05:01:06,"SAVE THE DATE: 18 APRIL 2020

One World: #TogetherAtHome is a historic, global broadcast to support the fight against #COVID19. 

Watch here @WHO 👉 https://t.co/OKTI6rJRMg https://t.co/TlwiOgiE5I"
1251012698491379713,2020-04-17 05:00:44,Systematic engagement of the National Polio Surveillance Network &amp; other @WHOSEARO field staff to strengthen India’s #COVID19 response is an inspired move under the leadership of @drharshvardhan &amp; a testament to the partnership between @MoHFW_India &amp; @WHO. 🇮🇳 #IndiaFightsCorona
1250735118185971714,2020-04-16 10:37:44,"Join our #HealthyAtHome  challenge by finding time to relax during the day.
 
🧘‍♀️🧘‍♂️ Consider meditating and deep breathing exercises along with other relaxation techniques that can help to reduce stress.

#COVID19 https://t.co/L2K6Zxo9gc"
1250436724972376070,2020-04-15 14:52:01,"In my interaction with @WHO field staff,I recalled how I had successfully tapped their skills, energy &amp; experience in my #polio eradication mission. I thanked them for joining me once again, this time in #COVID2019 containment &amp; exhorted them to work closely with all stakeholders https://t.co/CHVqXeT1DC"
1250420498531373058,2020-04-15 13:47:33,"WHO’s polio surveillance team, other field staff join COVID19 fight. Tapping WHO’s national polio surveillance network, and other field staff, for COVID19 response #Covid19India @CNNnews18 @WHOSEARO"
1250420460023500800,2020-04-15 13:47:24,"One of many such examples around the world where #polio workforce commits its skills, energy and broad base experience to support the response to the #COVID19 pandemic. But as soon as is safe and feasible, they will also return in full force to #EndPolio once and for all https://t.co/UHEULRtFFa"
1250394906138271745,2020-04-15 12:05:51,"You are our ‘surveillance corona warriors’. With your joint efforts we can defeat #COVID19 #coronavirus &amp; save lives - said @drharshvardhan,  Minister of Health and Family Welfare https://t.co/IiqIocqDSv"
1250391677027504129,2020-04-15 11:53:01,"Tapping into best practices &amp; key resources that helped India win its war against polio, @mohfw &amp; @WHO today initiated systematic engagement of national polio surveillance network, and other field staff, for #COVID19  #coronavirus response. Read https://t.co/ce3ewHDosN https://t.co/8On8S7AFhY"
1250359508641013761,2020-04-15 09:45:12,In the fight against #COVID19 we have entered a stage where surveillance is going to play a vital role in making future strategies for containment.. for better forecasting &amp; decision making for response to #coronavirus #pandemic - Regional Director Dr Poonam Khetrapal Singh https://t.co/17yK33uvW5
1250351737942061058,2020-04-15 09:14:19,"For strengthening #COVID19 #coronavirus response, ⁦@drharshvardhan⁩ &amp; ⁦Regional Director Dr Poonam Khetrapal Singh are addressing over 1000 @WHO #Polio #TB #NTD field staff &amp; state officials @MoHFW_INDIA⁩ ⁦@PIB_India⁩ @PBNS_India⁩ ⁦ https://t.co/A4S61bfuov"
1250071617071386624,2020-04-14 14:41:13,"Parenting in the time of #COVID19

To interact constructively with children 👧🧒during this time of confinement, creating a flexible but daily timetable including exercise, schoolwork 📚, hand washing 🧼👐 and some free time can help in reducing the stress. https://t.co/EoJYmanEKA"
1249958905720926208,2020-04-14 07:13:20,"Older adults &amp; people with underlying health conditions are at a higher risk of developing severe forms of #COVID19 

During the outbreak, stay at least 1 meter away from others🧍‍♀️↔️🧍‍♂️and follow distancing measures issued by your local authority.

Protect yourself &amp; #StayHealthy https://t.co/a9smYqoEED"
1249912189546192896,2020-04-14 04:07:42,"How is @WHO responding to #COVID19?

🔬Speeding up research and development
🌏Helping countries prepare and respond
🌐Coordinating the global response
🔊Communicating about how people can protect themselves and others

#coronavirus https://t.co/OXeQy7Ljzd"
1249711319332208640,2020-04-13 14:49:31,"We urge all our fans to #BeActive and to remain healthy at home during this difficult time. This is a time to put our rivalries aside and to show a new solidarity so we can overcome the COVID-19 outbreak

 #সক্রিয়থাকুন #বাড়িতেসুস্থথাকুন #HealthyAtHome #BeActive #FIFA #UN #WHO https://t.co/P2U9DFSoSr"
1249696531688505345,2020-04-13 13:50:46,"Staying home is not easy for children👧👦and can be stressful.

To ease the stress, you can:

😊Comfort them with patience &amp; love
🤗Provide them emotional comfort &amp; support
😌Encourage them to express their feelings

Supporting children during #COVID19 
#coronavirus https://t.co/fWdF0lPqLk"
1249642958338416646,2020-04-13 10:17:53,"It's ON US to win the fight against #COVID19 

Take care if you are elderly👴👵

✅Avoid exposure
✅Stay healthy
✅Be prepared

#coronavirus
#combatcovid19
#elderly https://t.co/2bFcz0P6NI"
1249626832166481922,2020-04-13 09:13:48,"#COVID19 isn’t transmitted through houseflies.

For information and guidance on #coronavirus 👉 https://t.co/C3mt4k815w https://t.co/RoUJtqo4et"
1249012774614618112,2020-04-11 16:33:45,"Crowded and messy home?
Kids crying?
Teenagers screaming?
Back-to-back online meetings?

Take a deep breath. 
Take a break. 
Do something for yourself.

Take care of yourself so you can take care of your children

More parenting tips during #COVID19
👉🏽 https://t.co/lD4ejgTkVU https://t.co/OvjGRlzxNK"
